id,name,is_company,email,phone,street,city,zip,country_id/code,is_iload_customer,iload_customer_code,customs_clearance_no,currency_id/name,destination_country_id/code
partner_iload_1,(유) 김,True,sgim@bagheo.net,054-604-3011,전라남도 청양군 개포길 207 (경숙홍권마을),인제군,00948,CN,False,,,EUR,JP
partner_iload_2,우최차,True,gyeongja29@jusighoesa.net,052-642-4157,울산광역시 동작구 봉은사4가 지하984,철원군,07216,CN,False,,,EUR,JP
partner_iload_3,이심이,True,byeongceol56@yu.org,053-335-9865,전라북도 정선군 잠실거리 479,여주시,27282,FR,False,,,KRW,CN
partner_iload_4,고김김,True,gwangsu86@ju.kr,043-829-3095,충청남도 아산시 테헤란길 635 (민지김리),청주시 흥덕구,21850,FR,False,,,JPY,KR
partner_iload_5,(주) 이오장,True,jeonghyi78@igimbag.com,064-716-4780,충청북도 강릉시 오금71로 405,안산시,90134,CN,True,CUST69185,610207-1886123,JPY,CN
partner_iload_6,김박,True,qha@yu.kr,018-572-7466,제주특별자치도 의왕시 가락8가 432-54,부여군,64096,CN,False,,,KRW,JP
partner_iload_7,최김,True,iyeongil@eomgim.com,053-348-0108,충청북도 천안시 동남구 삼성2길 364 (성훈박마을),금산군,08858,FR,False,,,JPY,CN
partner_iload_8,(주) 황,True,nayeongmi@yungim.net,051-324-5519,광주광역시 영등포구 테헤란길 지하405,청주시 상당구,57090,JP,True,CUST96482,360413-1845998,JPY,CN
partner_iload_9,강김,True,idohyeon@jusighoesa.org,054-991-4437,강원도 평창군 서초대6로 지하346 (은정손최동),안산시,26918,US,False,,,KRW,FR
partner_iload_10,진김김,True,agim@sinijin.com,052-529-3930,부산광역시 서구 반포대길 980 (윤서박면),수원시 권선구,86638,JP,False,,,KRW,US
partner_iload_11,(주) 김오류,True,sgim@yu.kr,062-916-4652,서울특별시 용산구 학동가 732,청주시 서원구,07962,DE,False,,,JPY,KR
partner_iload_12,(주) 허,True,ijeon@igim.kr,018-158-1532,전라북도 증평군 영동대796가 718 (현정이면),평택시,64631,FR,False,,,JPY,CN
partner_iload_13,(주) 김진안,True,tjeon@jusighoesa.com,032-117-2807,충청남도 제천시 백제고분02가 787,하남시,33702,CN,False,,,JPY,FR
partner_iload_14,문박노,True,gimseohyeon@yu.kr,062-225-8723,대구광역시 용산구 도산대거리 183 (미숙황정면),양양군,06521,US,False,,,EUR,DE
partner_iload_15,문이남,True,bsong@jangi.net,044-885-0044,부산광역시 성동구 오금95로 지하961,구리시,41074,DE,True,CUST58780,090208-2509828,EUR,US
partner_iload_16,(유) 황,True,dohyeongang@yuhanhoesa.net,054-196-3598,경상남도 부천시 소사구 압구정898길 726 (지영문마을),안산시 단원구,73089,KR,False,,,EUR,US
partner_iload_17,이서최,True,ojunyeong@ju.com,063-619-1405,충청북도 괴산군 개포7가 941-76 (서현이읍),영동군,11772,US,False,,,EUR,DE
partner_iload_18,유한회사 김,True,xi@yu.net,018-258-1487,부산광역시 동작구 가락거리 697-4,수원시 장안구,91595,CN,True,CUST94870,650221-2736691,KRW,KR
partner_iload_19,주식회사 김,True,doyun29@igimgim.com,016-346-0110,인천광역시 강남구 서초대길 291 (경자조한리),태백시,63470,CN,True,CUST12586,540913-1596907,EUR,JP
partner_iload_20,유한회사 이,True,kgim@gangno.kr,051-724-6397,전라남도 수원시 장안구 학동63거리 지하584 (미정엄김읍),서산시,00257,KR,False,,,JPY,KR
