id,name,acquisition_date,acquisition_from_type,seller_name,seller_registration_no,seller_address,seller_contact_person,seller_phone,car_registration_number,chassis_number,vehicle_id/id,english_vehicle_name,mileage,vehicle_weight,engine_displacement,acquisition_amount,acquisition_currency_id/name,storage_location,deregistration_status,deregistration_date,fuel_type
acquisition_iload_1,ACQ427926,2023-12-01,individual,유한회사 박박안,680124-2449780,강원도 홍성군 개포2길 774 (시우박면),김건우,054-659-5366,28가8569,C74UKDG2X3U3T2XFK,vehicle_iload_13,Suscipit Quibusdam,86110.67,4982.74,4110.43,15088000.0,USD,충청남도 청양군 서초중앙2로 983,False,,G
acquisition_iload_2,ACQ541329,2025-05-31,corporate,최김,290404-1865890,경상북도 하남시 삼성9거리 503-46,김도현,051-944-6300,49가6082,VVHRMT782PXS5CCWA,vehicle_iload_8,Quaerat Reprehenderit,89299.14,4865.18,1743.32,27394000.0,EUR,울산광역시 노원구 강남대667가 지하206,False,,ETC
acquisition_iload_3,ACQ755742,2023-12-13,individual,권유진,280220-1099261,부산광역시 영등포구 백제고분가 지하889,김영자,055-016-8262,31가5411,UDEL0U9H9RE8J8N15,vehicle_iload_12,Impedit Inventore,100349.29,4074.36,3815.67,11909000.0,USD,충청남도 이천시 봉은사로 630-20 (유진김마을),False,,EV
acquisition_iload_4,ACQ856148,2024-10-04,individual,(유) 장진이,750425-1196868,광주광역시 양천구 반포대길 지하731 (영철최읍),김영순,017-745-2795,59가7535,G39WP55826PKE2XJU,vehicle_iload_19,Porro Illum,32551.08,3757.24,4205.26,20058000.0,EUR,대전광역시 중구 백제고분60거리 484-53,False,,EV
acquisition_iload_5,ACQ964609,2024-04-09,individual,김구,290617-1243050,경상북도 파주시 양재천로 455 (현숙이노동),배민서,033-233-3256,14가4573,DFYB097CXXG2VBR7C,vehicle_iload_19,Officiis Beatae,18897.37,2830.97,3102.27,8463000.0,KRW,대전광역시 마포구 테헤란6로 564-57,False,,D
acquisition_iload_6,ACQ163849,2025-07-10,corporate,장홍,970304-2459134,경상남도 동두천시 잠실582거리 95-73,손미숙,053-542-4448,48가6096,E4W43T954D9GB023W,vehicle_iload_9,Et Quia,108802.22,3964.5,2589.32,8214000.0,KRW,강원도 청주시 청원구 양재천로 856-99,True,2025-08-10,ETC
acquisition_iload_7,ACQ674298,2025-05-22,corporate,김정,200309-1804308,제주특별자치도 여주시 오금가 13,박정호,054-038-0214,18가6378,CB7JUNWT92W61NFB6,vehicle_iload_12,Id Dolor,119618.94,2744.96,3471.48,45717000.0,USD,서울특별시 서초구 강남대485가 832,False,,EV
acquisition_iload_8,ACQ708959,2025-01-09,corporate,권숙자,290607-1884214,대전광역시 용산구 삼성1가 58 (중수이이동),박은영,055-953-2678,24가5488,DH4XZRRV0J90UJ8XV,vehicle_iload_20,Reprehenderit Fugit,68016.69,2308.49,4939.23,8258000.0,KRW,충청북도 성남시 분당구 언주4길 806 (지원박이읍),False,,LPG
acquisition_iload_9,ACQ984242,2023-10-31,corporate,황김,590015-2782032,경상남도 양구군 도산대거리 797-76,이지우,054-355-5112,72가3967,6H7EA64221XMJ2FBH,vehicle_iload_2,Quae Sunt,38922.13,3396.56,4712.24,18400000.0,EUR,경상남도 성남시 분당구 개포29길 441 (지연백김동),False,,EV
acquisition_iload_10,ACQ484626,2023-12-20,individual,이이,,충청남도 안산시 단원구 서초중앙27거리 979,최진호,054-372-6264,50가6666,UHKUZETL5M5RERWUV,vehicle_iload_18,Mollitia Magnam,45155.75,1296.58,3790.83,10416000.0,USD,충청북도 천안시 동남구 도산대08거리 436,False,,LPG
acquisition_iload_11,ACQ883354,2024-05-13,individual,유한회사 강,980205-2291802,충청북도 안성시 도산대39길 787 (지영최리),박영철,061-325-7418,60가4017,31HCYC8K1CXNBYVT8,vehicle_iload_9,Rem Laborum,75335.54,4786.26,4460.47,36878000.0,EUR,대구광역시 마포구 서초대3길 984-74,False,,HY
acquisition_iload_12,ACQ319318,2025-04-04,corporate,(주) 이안박,000510-1169326,울산광역시 성동구 봉은사596거리 680 (성진한주마을),박서연,016-954-2537,30가8263,XK0YFYLK4PJ5E3YZL,vehicle_iload_16,A Aliquam,11144.83,3435.49,1643.1,48937000.0,KRW,제주특별자치도 천안시 서북구 잠실083로 765 (명숙한읍),False,,EV
acquisition_iload_13,ACQ630487,2023-12-11,individual,(유) 최김허,250809-1159009,전라남도 수원시 강남대로 665-18,이상훈,054-735-6821,60가5142,TE0W0C8M8A5NZPXKE,vehicle_iload_17,Blanditiis Doloribus,17168.85,2839.63,1340.48,26316000.0,USD,부산광역시 송파구 역삼가 903 (은정나이면),True,2024-01-27,G
acquisition_iload_14,ACQ935702,2025-05-26,corporate,유한회사 김,180104-2500753,광주광역시 성동구 압구정86길 181-55,김상철,053-208-4083,26가9674,VUPX9H5Y8CAMG0SMC,vehicle_iload_1,Id Voluptatem,75478.29,3715.57,2200.4,33093000.0,USD,경상북도 양구군 영동대길 지하37,False,,HY
acquisition_iload_15,ACQ249627,2025-06-19,individual,김민석,860212-1018249,전라북도 평창군 봉은사길 262-69 (정훈백면),박미숙,061-262-7544,16가9999,DZKF1LRC8DP5LDWU8,vehicle_iload_10,Molestias Rerum,75143.38,2556.4,4254.87,16354000.0,USD,부산광역시 성북구 언주75가 606-70 (윤서류박면),False,,HY
acquisition_iload_16,ACQ793133,2024-05-24,individual,주식회사 김,,충청남도 청주시 청원구 가락로 51-30 (상훈최권동),장성호,064-788-0591,18가9938,3HRTJ6264DE5V8SXV,vehicle_iload_2,Aut Necessitatibus,90132.36,4707.28,3221.54,42163000.0,USD,세종특별자치시 동구 개포로 296,False,,ETC
acquisition_iload_17,ACQ326651,2025-03-17,individual,노나,600724-1573670,경상남도 동두천시 개포38길 869-38,정현우,041-334-9127,51가4670,4CJ4Z2HM2NYRDRPBW,vehicle_iload_19,Dolor Perferendis,98709.83,1369.32,4622.98,9601000.0,EUR,전라북도 가평군 봉은사가 375-25,False,,D
acquisition_iload_18,ACQ259349,2025-06-20,corporate,나승현,400628-2643847,경상북도 단양군 학동길 지하436 (영수김노동),전정순,019-792-1874,86가6821,28BEF63H5B4JVXWG4,vehicle_iload_7,Temporibus Ipsa,95320.05,2384.6,2423.54,44130000.0,KRW,대구광역시 서초구 테헤란가 238 (상훈김양마을),False,,LPG
acquisition_iload_19,ACQ102496,2024-03-30,corporate,김준서,,대구광역시 용산구 오금로 211 (영숙최면),안예은,042-975-9492,57가8117,Y56NRR6D4WXM5W3YW,vehicle_iload_8,Laborum Dolores,186405.06,3827.77,4034.7,14301000.0,KRW,광주광역시 강동구 가락길 지하786,False,,ETC
acquisition_iload_20,ACQ162708,2024-08-18,corporate,양보람,,경상남도 서산시 강남대09거리 142 (병철윤동),황정자,011-130-9855,77가9370,0X43BPY5879S5DAF0,vehicle_iload_20,Iusto Tenetur,59827.83,4271.26,4306.45,44187000.0,EUR,대구광역시 강동구 영동대37로 638-42,False,,EV
